First Pol.,Second Pol.,Result Pol.,Sequential,Parallel,Karatsuba Seq.,Karatsuba Par.
1*x^0,2*x^0,2*x^0,1170700,5487900,946600,2752000
1*x^1+2*x^0,3*x^1+4*x^0,3*x^2+10*x^1+8*x^0,2607500,2418600,174500,5820200
1*x^3+2*x^2+3*x^1+4*x^0,5*x^3+6*x^2+7*x^1+8*x^0,5*x^6+16*x^5+34*x^4+60*x^3+61*x^2+52*x^1+32*x^0,583500,6665700,724800,6615100
1*x^7+2*x^6+3*x^5+4*x^4+5*x^3+6*x^2+7*x^1+8*x^0,9*x^7+10*x^6+11*x^5+12*x^4+13*x^3+14*x^2+15*x^1+16*x^0,9*x^14+28*x^13+58*x^12+100*x^11+155*x^10+224*x^9+308*x^8+408*x^7+427*x^6+428*x^5+410*x^4+372*x^3+313*x^2+232*x^1+128*x^0,713200,24406500,1197500,9417500
